Date,Close,High,Low,Open,Volume
,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
2025-05-06,18.422500610351562,18.697500228881836,17.987499237060547,18.337499618530273,0
